SEX,AGE,COURSE_YEAR_SECTION,SHS_STRAND,Strand_Alignment_Q1,Strand_Alignment_Q2,Strand_Alignment_Q3,Learning_Adaptability_Q1,Learning_Adaptability_Q2,Learning_Adaptability_Q3,Learning_Adaptability_Q4,Learning_Adaptability_Q5
Male,19,BSIT 2B,GAS,3,3,3,4,3,1,2,1
Male,21,BSIT 2E,STEM,5,5,5,5,5,5,5,5
Female,19,BS COMSCI 2B,STEM,5,5,5,5,5,4,5,4
Male,19,BSIT 2E,STEM,5,5,5,5,4,5,4,5
Male,19,BS COMSCI 2B,ICT,5,5,4,5,5,4,4,4
Female,19,BS COMSCI 2B,STEM,5,5,4,5,5,3,3,3
Female,19,BS COMSCI 2B,STEM,5,5,5,5,5,5,5,4
Female,19,BS COMSCI 2B,STEM,4,4,5,5,5,3,5,5
Female,19,BS COMSCI 2A,HUMSS,3,1,1,4,5,4,5,4
Male,20,BS COMSCI 2B,GAS,5,5,5,5,5,4,5,4
Male,19,BSIT 2E,STEM,5,5,5,5,5,4,5,3
Male,20,BSIT 2E,ICT,5,5,5,5,5,5,5,5
Male,20,BSIT 2E,ICT,5,5,5,5,5,5,5,5
Female,19,BSIT 2E,STEM,5,5,5,5,5,3,4,3
Male,19,BSIT 2E,ICT,4,5,5,5,5,5,5,5
Male,19,BSIT 2B,ICT,5,5,5,5,5,5,5,5
Male,20,BSIT 2C,ICT,5,5,5,5,5,4,4,4
Male,19,BSIT 2C,GAS,3,3,3,3,3,3,3,3
Male,19,BSIT 2B,ICT,5,5,5,5,5,5,5,5
Male,19,BSIT 2B,ICT,5,5,5,5,5,4,5,5
Male,20,BSIT 2A,ICT,5,5,5,5,5,5,5,4
Female,19,BS COMSCI 2A,ICT,5,5,5,4,5,4,5,4
Male,19,BSIT 2C,ICT,5,5,5,5,4,5,4,4
Male,20,BSIT 2B,ICT,5,5,5,5,5,5,5,5
Male,19,BSIT 2A,ICT,5,5,5,4,4,4,4,4
Male,20,BSIT 2A,ICT,5,5,5,5,5,5,5,3
Male,21,BSIT 2E,ICT,5,5,5,5,5,5,5,5
Male,19,BSIT 2A,GAS,3,3,1,3,3,3,3,3
Male,20,BS COMSCI 2A,ICT,5,5,5,5,5,5,5,4
Male,20,BSIT 2C,ICT,5,5,5,5,5,4,5,4
Male,19,BSIT 2B,HUMSS,3,2,1,4,4,2,4,4
Male,20,BSIT 2A,ICT,5,5,5,5,4,5,5,5
Male,20,BSIT 2A,ICT,5,5,5,5,5,4,5,5
Male,20,BSIT 2E,GAS,3,3,3,5,5,3,3,3
Male,20,BS COMSCI 2B,ICT,5,5,5,5,5,4,5,4
Male,20,BSIT 2C,ICT,5,5,5,4,4,4,5,4
Female,20,BSIT 2A,HUMSS,1,1,1,3,3,1,2,1
Male,20,BSIT 2B,ICT,5,5,5,5,5,5,5,5
Male,21,BSIT 2A,GAS,3,3,3,1,1,1,1,1
Male,20,BS COMSCI 2A,HUMSS,3,3,3,3,3,2,3,3
Male,20,BSIT 2A,ICT,5,5,5,5,5,5,5,5
Male,19,BSIT 2B,ICT,5,5,5,4,4,4,4,4
Female,20,BS COMSCI 2B,STEM,4,4,4,3,4,3,4,3
Female,19,BS COMSCI 2B,HUMSS,3,3,2,4,4,1,3,3
Female,19,BS COMSCI 2A,HUMSS,4,3,3,3,3,2,2,2
Female,20,BS COMSCI 2B,GAS,3,3,3,3,3,1,3,1
Female,21,BS COMSCI 2B,STEM,5,5,4,5,5,4,5,4
Female,20,BS COMSCI 2A,STEM,4,4,4,4,4,3,3,3
Female,20,BS COMSCI 2B,HUMSS,3,2,1,3,4,2,2,2
Female,20,BSIT 2B,STEM,5,4,4,4,4,3,4,4
Female,19,BSIT 2C,HUMSS,3,3,4,4,4,1,4,4
Female,20,BSIT 2A,HUMSS,4,2,1,3,3,1,3,3
